city_name,latitude,longitude,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code
Oujda-Angad,34.6867,-1.9114,2026-09-18,27.0,18.0,0.0,20,18.4,39.6,3
Oujda-Angad,34.6867,-1.9114,2026-09-19,27.9,18.2,0.0,30,19.5,42.8,45
Oujda-Angad,34.6867,-1.9114,2026-09-20,28.1,17.4,0.0,13,20.3,40.0,45
Oujda-Angad,34.6867,-1.9114,2026-09-21,27.8,18.4,0.3,13,15.6,32.4,3
Tétouan,35.5667,-5.3667,2026-09-15,29.2,21.2,0.0,0,12.2,32.0,2
Tétouan,35.5667,-5.3667,2026-09-16,33.4,19.7,0.0,0,25.8,59.8,2
Tétouan,35.5667,-5.3667,2026-09-17,27.5,14.8,0.0,0,11.6,29.5,3
Tétouan,35.5667,-5.3667,2026-09-18,26.6,20.2,0.0,5,15.7,40.7,3
Tétouan,35.5667,-5.3667,2026-09-19,26.5,21.9,0.0,8,32.4,75.2,2
Tétouan,35.5667,-5.3667,2026-09-20,25.3,22.4,0.0,0,40.4,84.2,2
Tétouan,35.5667,-5.3667,2026-09-21,25.4,21.8,0.0,0,36.8,76.3,2
Safi,32.2833,-9.2333,2026-09-15,33.8,22.8,0.0,0,22.8,42.5,3
Safi,32.2833,-9.2333,2026-09-16,27.5,20.8,0.0,0,27.5,49.7,2
Safi,32.2833,-9.2333,2026-09-17,25.3,19.2,0.0,0,20.4,36.7,3
Safi,32.2833,-9.2333,2026-09-18,26.4,19.5,0.0,0,22.7,40.3,2
Safi,32.2833,-9.2333,2026-09-19,28.2,18.8,0.0,0,20.4,37.1,2
Safi,32.2833,-9.2333,2026-09-20,30.9,21.6,0.0,0,17.0,32.0,2
Safi,32.2833,-9.2333,2026-09-21,26.1,19.4,0.0,0,14.6,28.4,45
Taourirt,34.41,-2.89,2026-09-15,32.3,19.0,0.0,0,23.0,37.1,3
Taourirt,34.41,-2.89,2026-09-16,34.4,18.9,0.0,0,22.9,36.7,1
Taourirt,34.41,-2.89,2026-09-17,29.6,19.2,0.0,8,26.2,43.6,3
Taourirt,34.41,-2.89,2026-09-18,29.3,19.7,0.0,8,26.7,45.7,45
Taourirt,34.41,-2.89,2026-09-19,29.6,19.1,0.0,15,29.0,55.1,3
Taourirt,34.41,-2.89,2026-09-20,30.1,19.9,0.0,6,28.4,48.6,3
Taourirt,34.41,-2.89,2026-09-21,30.2,19.6,0.0,3,26.3,45.0,3
Temara,33.9234,-6.9076,2026-09-15,28.1,21.4,0.0,0,11.6,31.7,45
Temara,33.9234,-6.9076,2026-09-16,25.9,20.3,0.0,0,15.5,39.2,2
Temara,33.9234,-6.9076,2026-09-17,26.0,19.2,0.0,0,12.5,33.5,3
Temara,33.9234,-6.9076,2026-09-18,26.7,15.7,0.0,3,11.5,32.0,45
Temara,33.9234,-6.9076,2026-09-19,29.4,16.6,0.0,0,11.8,32.4,1
Temara,33.9234,-6.9076,2026-09-20,31.2,19.6,0.0,0,12.8,27.7,1
Temara,33.9234,-6.9076,2026-09-21,26.2,20.7,0.0,0,12.4,25.2,0
Laâyoune,27.15,-13.2,2026-09-15,40.5,25.1,0.0,0,25.3,49.3,0
Laâyoune,27.15,-13.2,2026-09-16,36.1,21.7,0.0,0,26.3,51.1,0
Laâyoune,27.15,-13.2,2026-09-17,28.4,21.5,0.0,0,31.5,58.3,3
Laâyoune,27.15,-13.2,2026-09-18,27.9,20.1,0.0,2,27.9,54.4,3
Laâyoune,27.15,-13.2,2026-09-19,28.8,18.1,0.0,0,24.7,48.6,0
Laâyoune,27.15,-13.2,2026-09-20,32.8,19.3,0.0,0,22.7,46.4,3
Laâyoune,27.15,-13.2,2026-09-21,35.3,19.3,0.0,8,26.3,50.8,0
El Jadid,33.2566,-8.5025,2026-09-15,26.6,21.5,0.0,0,17.1,30.6,45
El Jadid,33.2566,-8.5025,2026-09-16,24.9,21.0,0.0,0,19.1,33.5,2
El Jadid,33.2566,-8.5025,2026-09-17,25.4,20.0,0.0,0,15.2,27.7,3
El Jadid,33.2566,-8.5025,2026-09-18,25.3,20.3,0.0,0,18.5,33.5,45
El Jadid,33.2566,-8.5025,2026-09-19,25.5,20.4,0.0,0,18.2,32.4,2
El Jadid,33.2566,-8.5025,2026-09-20,28.6,21.2,0.0,0,15.5,30.2,2
El Jadid,33.2566,-8.5025,2026-09-21,27.5,20.3,0.0,0,16.8,33.1,45
Ait Melloul,30.3342,-9.4972,2026-09-15,36.8,25.6,0.0,8,17.0,34.2,3
Ait Melloul,30.3342,-9.4972,2026-09-16,30.3,21.6,0.0,0,19.1,35.6,2
Ait Melloul,30.3342,-9.4972,2026-09-17,27.3,21.5,0.0,0,18.8,37.1,2
Ait Melloul,30.3342,-9.4972,2026-09-18,27.1,20.4,0.0,0,18.8,36.7,2
Ait Melloul,30.3342,-9.4972,2026-09-19,26.8,20.5,0.0,0,21.3,41.4,45
Ait Melloul,30.3342,-9.4972,2026-09-20,28.7,21.2,0.0,0,15.0,30.6,2
Ait Melloul,30.3342,-9.4972,2026-09-21,33.5,21.6,0.0,0,12.8,27.0,45
Béni Mellal,32.3394,-6.3608,2026-09-15,36.5,25.9,0.0,5,21.9,44.6,3
Béni Mellal,32.3394,-6.3608,2026-09-16,32.8,21.8,0.0,0,17.3,36.0,0
Béni Mellal,32.3394,-6.3608,2026-09-17,29.9,18.7,0.0,5,11.8,24.1,3
Béni Mellal,32.3394,-6.3608,2026-09-18,31.3,19.3,0.0,5,9.7,21.2,1
Béni Mellal,32.3394,-6.3608,2026-09-19,35.3,21.9,0.0,3,13.9,28.1,3
Béni Mellal,32.3394,-6.3608,2026-09-20,38.1,26.2,0.3,0,16.1,29.5,2
Béni Mellal,32.3394,-6.3608,2026-09-21,36.8,28.0,0.9,8,18.6,37.1,80
Bouskoura,33.4489,-7.6486,2026-09-15,32.6,21.0,0.0,0,15.3,37.1,45
Bouskoura,33.4489,-7.6486,2026-09-16,27.0,19.7,0.0,0,15.9,39.2,45
Bouskoura,33.4489,-7.6486,2026-09-17,26.9,19.1,0.0,0,15.3,37.4,3
Bouskoura,33.4489,-7.6486,2026-09-18,28.1,17.5,0.0,3,16.7,40.7,45
Bouskoura,33.4489,-7.6486,2026-09-19,30.5,18.6,0.0,0,14.0,34.9,45
Bouskoura,33.4489,-7.6486,2026-09-20,31.0,21.1,0.0,0,11.6,29.9,2
Bouskoura,33.4489,-7.6486,2026-09-21,29.5,20.8,0.0,0,13.6,36.0,2
Tiznit,29.7,-9.7269,2026-09-15,36.3,26.7,0.0,0,21.7,34.9,1
Tiznit,29.7,-9.7269,2026-09-16,32.2,22.1,0.0,0,21.7,35.6,1
Tiznit,29.7,-9.7269,2026-09-17,23.7,19.6,0.0,0,23.7,38.5,3
Tiznit,29.7,-9.7269,2026-09-18,26.5,19.6,0.0,0,19.8,32.8,3
Tiznit,29.7,-9.7269,2026-09-19,27.5,20.2,0.0,0,14.7,24.5,1
Tiznit,29.7,-9.7269,2026-09-20,25.8,20.2,0.0,0,19.0,30.6,1
Tiznit,29.7,-9.7269,2026-09-21,27.6,19.8,0.0,0,12.3,20.9,45
Mohammedia,33.6833,-7.3833,2026-09-15,27.5,21.2,0.0,0,12.6,29.9,45
Mohammedia,33.6833,-7.3833,2026-09-16,25.7,20.8,0.0,0,15.6,37.4,2
Mohammedia,33.6833,-7.3833,2026-09-17,25.4,20.0,0.0,0,13.3,31.0,3
Mohammedia,33.6833,-7.3833,2026-09-18,25.8,17.5,0.0,5,14.6,34.2,3
Mohammedia,33.6833,-7.3833,2026-09-19,26.7,18.2,0.0,0,13.0,32.0,45
Mohammedia,33.6833,-7.3833,2026-09-20,33.9,20.3,0.0,0,16.2,30.2,2
Mohammedia,33.6833,-7.3833,2026-09-21,32.5,20.3,0.0,0,16.9,33.5,1
