city_name,latitude,longitude,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code
Oujda-Angad,34.6867,-1.9114,2026-09-21,26.4,18.4,0.0,5,17.8,38.5,45
Oujda-Angad,34.6867,-1.9114,2026-09-22,29.5,15.1,0.0,3,16.4,37.4,2
Oujda-Angad,34.6867,-1.9114,2026-09-23,30.8,17.8,0.0,0,17.9,36.0,1
Oujda-Angad,34.6867,-1.9114,2026-09-24,33.0,16.5,0.0,0,20.1,35.6,1
Tétouan,35.5667,-5.3667,2026-09-18,26.7,17.9,0.0,0,21.3,52.9,3
Tétouan,35.5667,-5.3667,2026-09-19,25.9,22.4,0.0,3,31.6,74.2,2
Tétouan,35.5667,-5.3667,2026-09-20,26.3,23.0,0.0,5,24.9,64.8,3
Tétouan,35.5667,-5.3667,2026-09-21,27.1,22.8,0.0,0,27.4,65.9,2
Tétouan,35.5667,-5.3667,2026-09-22,26.9,21.2,0.0,0,20.1,47.9,2
Tétouan,35.5667,-5.3667,2026-09-23,27.4,20.8,0.0,0,17.2,44.3,2
Tétouan,35.5667,-5.3667,2026-09-24,28.3,19.3,0.0,0,13.6,38.9,45
Safi,32.2833,-9.2333,2026-09-18,25.4,18.2,0.0,0,21.7,38.9,1
Safi,32.2833,-9.2333,2026-09-19,26.6,19.2,0.0,0,18.1,33.8,2
Safi,32.2833,-9.2333,2026-09-20,25.0,19.9,0.0,0,8.6,18.0,2
Safi,32.2833,-9.2333,2026-09-21,26.6,18.6,0.0,0,10.9,21.6,45
Safi,32.2833,-9.2333,2026-09-22,25.6,18.8,0.0,0,11.7,24.5,45
Safi,32.2833,-9.2333,2026-09-23,28.3,19.6,0.0,0,14.1,27.7,45
Safi,32.2833,-9.2333,2026-09-24,26.4,18.7,0.0,0,13.0,28.1,45
Taourirt,34.41,-2.89,2026-09-18,29.5,18.1,0.0,0,32.0,53.6,3
Taourirt,34.41,-2.89,2026-09-19,30.6,20.1,0.3,28,29.0,48.2,80
Taourirt,34.41,-2.89,2026-09-20,31.2,21.4,0.0,3,30.8,50.8,45
Taourirt,34.41,-2.89,2026-09-21,28.7,20.4,0.0,3,25.5,44.6,3
Taourirt,34.41,-2.89,2026-09-22,31.0,17.9,0.0,0,23.4,44.6,1
Taourirt,34.41,-2.89,2026-09-23,31.8,19.1,0.0,0,21.9,38.9,0
