city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week
Laâyoune,27.15,-13.2,2026-09-18,28.0,19.8,0.1,0,29.3,56.9,51,Normal,Low,Moderate,18,9,Friday
Laâyoune,27.15,-13.2,2026-09-19,29.0,18.3,0.0,0,23.8,47.5,2,Normal,None,Moderate,19,9,Saturday
Laâyoune,27.15,-13.2,2026-09-20,32.2,18.6,0.0,0,18.9,38.9,3,High,None,Low,20,9,Sunday
Laâyoune,27.15,-13.2,2026-09-21,36.5,20.6,0.0,0,22.8,44.6,0,Very High,None,Moderate,21,9,Monday
Laâyoune,27.15,-13.2,2026-09-22,35.6,21.4,0.0,2,26.8,51.8,1,Very High,None,Moderate,22,9,Tuesday
Laâyoune,27.15,-13.2,2026-09-23,38.6,21.2,0.0,2,23.5,46.1,0,Very High,None,Moderate,23,9,Wednesday
Laâyoune,27.15,-13.2,2026-09-24,39.6,23.3,0.0,4,26.0,54.7,3,Very High,None,Moderate,24,9,Thursday
El Jadid,33.2566,-8.5025,2026-09-18,23.9,19.3,0.0,0,18.3,33.1,2,Normal,None,Low,18,9,Friday
El Jadid,33.2566,-8.5025,2026-09-19,25.4,20.6,0.0,0,15.2,28.1,2,Normal,None,Low,19,9,Saturday
El Jadid,33.2566,-8.5025,2026-09-20,27.2,20.3,0.0,0,12.0,22.7,2,Normal,None,Low,20,9,Sunday
El Jadid,33.2566,-8.5025,2026-09-21,26.7,21.3,0.0,0,13.4,24.5,45,Normal,None,Low,21,9,Monday
El Jadid,33.2566,-8.5025,2026-09-22,26.4,20.8,0.0,0,11.8,22.0,45,Normal,None,Low,22,9,Tuesday
El Jadid,33.2566,-8.5025,2026-09-23,27.1,19.9,0.0,0,13.7,29.2,45,Normal,None,Low,23,9,Wednesday
El Jadid,33.2566,-8.5025,2026-09-24,27.4,19.9,0.0,0,11.8,29.2,45,Normal,None,Low,24,9,Thursday
Ait Melloul,30.3342,-9.4972,2026-09-18,26.0,19.3,0.0,0,17.6,35.3,3,Normal,None,Low,18,9,Friday
Ait Melloul,30.3342,-9.4972,2026-09-19,26.0,20.1,0.0,0,20.3,40.3,2,Normal,None,Moderate,19,9,Saturday
Ait Melloul,30.3342,-9.4972,2026-09-20,26.6,20.0,0.0,0,18.4,36.4,45,Normal,None,Low,20,9,Sunday
Ait Melloul,30.3342,-9.4972,2026-09-21,33.1,21.2,0.0,0,14.6,31.0,3,High,None,Low,21,9,Monday
Ait Melloul,30.3342,-9.4972,2026-09-22,32.0,21.1,0.0,0,17.7,36.4,0,High,None,Low,22,9,Tuesday
Ait Melloul,30.3342,-9.4972,2026-09-23,35.8,20.3,0.0,0,13.2,28.4,1,Very High,None,Low,23,9,Wednesday
Ait Melloul,30.3342,-9.4972,2026-09-24,34.3,18.4,0.0,0,12.9,26.6,45,High,None,Low,24,9,Thursday
