city_name,latitude_city,longitude_city,forecast_date,temperature_max,temperature_min,precipitation,precipitation_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,forecast_day,month,day_of_week,rain_risk,wind_risk,temperature_risk,probability_risk,risk_score,risk_level
Meknès,33.8833,-5.55,2026-09-21,34.6,20.1,0.0,0,13.3,34.6,1,High,None,Low,21,9,Monday,0,0,30,0,6.0,Faible
Meknès,33.8833,-5.55,2026-09-22,33.1,18.9,0.0,0,12.4,32.8,1,High,None,Low,22,9,Tuesday,0,0,30,0,6.0,Faible
Meknès,33.8833,-5.55,2026-09-23,33.9,18.9,0.0,0,11.3,31.3,0,High,None,Low,23,9,Wednesday,0,0,30,0,6.0,Faible
Meknès,33.8833,-5.55,2026-09-24,34.4,19.2,0.0,0,13.7,29.5,0,High,None,Low,24,9,Thursday,0,0,30,0,6.0,Faible
Rabat,34.0211,-6.8414,2026-09-18,25.6,16.4,0.0,0,14.0,36.4,45,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Rabat,34.0211,-6.8414,2026-09-19,30.5,17.3,0.0,0,14.1,36.4,1,High,None,Low,19,9,Saturday,0,0,30,0,6.0,Faible
Rabat,34.0211,-6.8414,2026-09-20,30.1,20.3,0.0,0,11.5,30.2,1,High,None,Low,20,9,Sunday,0,0,30,0,6.0,Faible
Rabat,34.0211,-6.8414,2026-09-21,30.6,20.5,0.0,0,12.8,32.8,1,High,None,Low,21,9,Monday,0,0,30,0,6.0,Faible
Rabat,34.0211,-6.8414,2026-09-22,29.7,20.2,0.0,0,10.9,29.2,0,Normal,None,Low,22,9,Tuesday,0,0,0,0,0.0,Faible
Rabat,34.0211,-6.8414,2026-09-23,28.2,19.2,0.0,0,12.9,28.1,1,Normal,None,Low,23,9,Wednesday,0,0,0,0,0.0,Faible
Rabat,34.0211,-6.8414,2026-09-24,28.3,18.9,0.0,0,10.5,27.7,45,Normal,None,Low,24,9,Thursday,0,0,0,0,0.0,Faible
Agadir,30.4214,-9.5831,2026-09-18,26.3,19.4,0.0,0,11.1,32.0,2,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Agadir,30.4214,-9.5831,2026-09-19,26.2,20.3,0.0,0,13.3,38.2,2,Normal,None,Low,19,9,Saturday,0,0,0,0,0.0,Faible
Agadir,30.4214,-9.5831,2026-09-20,27.9,20.8,0.0,0,11.6,35.3,45,Normal,None,Low,20,9,Sunday,0,0,0,0,0.0,Faible
Agadir,30.4214,-9.5831,2026-09-21,33.4,21.6,0.0,0,8.6,28.8,3,High,None,Low,21,9,Monday,0,0,30,0,6.0,Faible
Agadir,30.4214,-9.5831,2026-09-22,32.9,23.3,0.0,0,11.2,37.1,45,High,None,Low,22,9,Tuesday,0,0,30,0,6.0,Faible
Agadir,30.4214,-9.5831,2026-09-23,35.6,20.1,0.0,0,13.2,28.4,45,Very High,None,Low,23,9,Wednesday,0,0,60,0,12.0,Faible
Agadir,30.4214,-9.5831,2026-09-24,34.0,18.2,0.0,0,12.9,26.6,45,High,None,Low,24,9,Thursday,0,0,30,0,6.0,Faible
Kenitra,34.25,-6.5833,2026-09-18,27.4,15.6,0.0,0,15.0,37.8,45,Normal,None,Low,18,9,Friday,0,0,0,0,0.0,Faible
Kenitra,34.25,-6.5833,2026-09-19,34.4,17.5,0.0,0,17.1,45.0,1,High,None,Low,19,9,Saturday,0,0,30,0,6.0,Faible
Kenitra,34.25,-6.5833,2026-09-20,34.3,20.3,0.0,0,13.7,36.0,1,High,None,Low,20,9,Sunday,0,0,30,0,6.0,Faible
Kenitra,34.25,-6.5833,2026-09-21,34.2,20.2,0.0,0,14.0,37.8,0,High,None,Low,21,9,Monday,0,0,30,0,6.0,Faible
